Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
ANL-2261,273107,,Готово,25.01.2024 10:30 ,05.02.2024 11:53 ,flerinvs,5.0,Сформировать отчет по сделке в разрезе офисов и статусов,tatiankoaa
ANL-2242,271841,,Готово,18.01.2024 14:11 ,02.02.2024 18:08 ,nikishinpa,3.0,Доля клиентов ИП в заявках ИБ за Q4 2023,kluninany
ANL-2293,274762,,Готово,01.02.2024 15:01 ,02.02.2024 18:07 ,nikishinpa,2.0,Выгрузка для ВТБ ГРМ,kluninany
ANL-2204,269372,,Готово,28.12.2023 12:45 ,02.02.2024 17:03 ,mikhaelyanta,1.0,Выгрузка партнеров подключенных к СУП,kovievanv
ANL-2276,273879,,Готово,29.01.2024 16:30 ,02.02.2024 11:41 ,mikhaelyanta,2.0,Работа с ЭР,mikhaelyanta
ANL-2273,273841,,Готово,29.01.2024 14:49 ,29.01.2024 15:14 ,flerinvs,1.0, Доступы в SS,flerinvs
ANL-2250,272130,,Готово,19.01.2024 17:01 ,29.01.2024 12:52 ,mikhaelyanta,,Текущий список отчетов Eregistration,norea
ANL-2247,271998,,Готово,19.01.2024 11:34 ,29.01.2024 12:21 ,balitskayaav,5.0,Автоматизация отчета УКЭП,balitskayaav
ANL-2248,272000,,Закрыт,19.01.2024 11:36 ,29.01.2024 12:21 ,balitskayaav,5.0,Автоматизация отчета рейтинга АН,balitskayaav
ANL-2093,261361,,Готово,20.11.2023 12:30 ,29.01.2024 12:11 ,balitskayaav,5.0,Отчетность для сверки УКЭП,SytnikTI
ANL-2208,269660,,Готово,08.01.2024 22:39 ,29.01.2024 11:46 ,nikishinpa,2.0,Документация ЭР МКБ,nikishinpa
ANL-2245,271924,,Готово,18.01.2024 17:35 ,29.01.2024 10:15 ,nikishinpa,3.0,1)Собрать все источники данных воедино в Excel,nikishinpa
ANL-2237,271724,,Готово,18.01.2024 10:34 ,29.01.2024 09:59 ,mikhaelyanta,2.0,Ответственные за застрйощиков,mikhaelyanta
ANL-1862,234694,,Готово,25.07.2023 18:02 ,26.01.2024 16:32 ,mikhaelyanta,,Переделать отчет по Неипотечным сделкам,mikhaelyanta
ANL-2240,271784,,Готово,18.01.2024 12:24 ,25.01.2024 21:52 ,flerinvs,,Актуализировать задачи в пространстве ANL,flerinvs
ANL-1923,245184,,Backlog,11.09.2023 17:19 ,25.01.2024 17:55 ,mikhaelyanta,,"Добавить в регулярную раскатку ""MART_ALL_DEALS"".""ALL_SALES""",mikhaelyanta
ANL-2091,261327,,Hold,20.11.2023 11:18 ,25.01.2024 17:53 ,mikhaelyanta,2.0,Корректировка в реестр отчетов по ЭР,mikhaelyanta
ANL-2135,264972,,Backlog,06.12.2023 14:57 ,25.01.2024 17:39 ,flerinvs,,Дашборд по СМС ,petrovov
ANL-1983,251554,,В работе,06.10.2023 18:03 ,25.01.2024 17:38 ,flerinvs,,ПОДФТ_проверка на условие с удалением,flerinvs
ANL-1972,250803,,Закрыт,04.10.2023 14:49 ,25.01.2024 17:38 ,mikhaelyanta,,Описание отчетов,mikhaelyanta
ANL-1912,244255,,Закрыт,06.09.2023 17:13 ,25.01.2024 17:37 ,mikhaelyanta,,справочник M2PRO DEVELOPER,mikhaelyanta
ANL-1875,239305,,Закрыт,16.08.2023 16:23 ,25.01.2024 17:35 ,mikhaelyanta,,Не обновляется отчет Отчет_по_лидам_на_СБР_от_фронт_линии,mikhaelyanta
ANL-1890,241481,,Backlog,25.08.2023 14:20 ,25.01.2024 17:27 ,flerinvs,,Ошибка в КДКП,flerinvs
ANL-2117,260832,,Hold,16.11.2023 15:32 ,25.01.2024 17:23 ,mikhaelyanta,1.0,Перевод отчетов на питоновский скрипт,mikhaelyanta
ANL-2218,269804,,Backlog,09.01.2024 12:58 ,25.01.2024 15:05 ,flerinvs,,автоматизация файла для бухгалтерии,flerinvs
ANL-1789,196150,,Backlog,31.01.2023 12:32 ,25.01.2024 15:04 ,flerinvs,,Скорректировать настройку (логику) выгрузки сделок ЭР для передачи в 1С,ivlevanv
ANL-1758,189797,,Backlog,22.12.2022 13:38 ,25.01.2024 15:03 ,flerinvs,,Разбор данных для формирования хмл в Росфинмониторинг (новые сделки СБР),ivlevanv
ANL-1822,205342,,Backlog,14.03.2023 17:50 ,25.01.2024 14:57 ,flerinvs,,Создание отчета по проверкам ПОД/ФТ-выявление операций клиентов,ivlevanv
ANL-1971,250790,,Закрыт,04.10.2023 14:26 ,25.01.2024 13:44 ,flerinvs,,Критические ошибки отчетах ВТБ,flerinvs
ANL-1957,249824,,Готово,02.10.2023 09:08 ,25.01.2024 13:40 ,flerinvs,,починить отчеты,flerinvs
ANL-2254,272427,,Готово,22.01.2024 19:23 ,25.01.2024 12:00 ,flerinvs,,Сверить данные двух от отчетов,tatiankoaa
ANL-2251,272211,,Готово,22.01.2024 09:33 ,23.01.2024 15:11 ,flerinvs,3.0,Выгрузить количество сообщений в чатах в одной завершенной сделке ,goryaynovaen
ANL-2129,264543,,Закрыт,05.12.2023 10:58 ,22.01.2024 14:03 ,mikhaelyanta,3.0,Анализ использования продуктов М2 застрощиками,shevelevvn
ANL-2116,263665,,Готово,30.11.2023 11:47 ,22.01.2024 13:04 ,balitskayaav,5.0,Скорректировать логику расчета рейтинга АН в связи с появлением ипотечных сделок в Сделке,zhuravlevaev
ANL-2137,265271,,Готово,07.12.2023 13:04 ,22.01.2024 13:03 ,balitskayaav,5.0,Рефакторинг скриптов ,balitskayaav
ANL-2213,269665,,Готово,08.01.2024 22:49 ,22.01.2024 12:58 ,nikishinpa,2.0,Документация по неипотечным сделкам ВТБ,nikishinpa
ANL-2066,259979,,Готово,13.11.2023 17:42 ,19.01.2024 17:22 ,mikhaelyanta,3.0,"Корректировка ""MART2_ALTERNATIVE"".""REGULAR_REPORT_DEAL_PART_CODE""",mikhaelyanta
ANL-2198,268090,,Готово,20.12.2023 15:20 ,19.01.2024 15:25 ,mikhaelyanta,3.0,"Добавить в фильтр ВТБ для отчета по ДКП и SBR_ALT сделки ""ЭР + ДКП М2""",ScherbakovaKA
ANL-2228,270602,,Готово,12.01.2024 10:40 ,19.01.2024 15:25 ,mikhaelyanta,3.0,аналитика за 2023 г продажи,mikhaelyanta
ANL-2241,271812,,Закрыт,18.01.2024 13:13 ,19.01.2024 15:04 ,flerinvs,,Доход Сделки онлайн в разбивке на первичных/повторных пользователей,islamovayui
ANL-2231,270833,,Готово,13.01.2024 16:21 ,19.01.2024 12:31 ,mikhaelyanta,1.0,Добавить в отчет ДКП ВТБ ручные сделки,altunyanar
ANL-2243,271920,270609,Закрыт,18.01.2024 17:23 ,19.01.2024 11:04 ,nikishinpa,,1)Собрать все источники данных воедино в Excel,nikishinpa
ANL-2244,271921,270609,Закрыт,18.01.2024 17:25 ,19.01.2024 11:04 ,nikishinpa,,2) Предоставить данные продажам и провести корректировки отчета,nikishinpa
ANL-2235,271108,,Готово,15.01.2024 17:11 ,18.01.2024 16:20 ,flerinvs,2.0,Поправить кэшбэк в сделке онлайн,flerinvs
ANL-2234,270941,,Готово,15.01.2024 12:28 ,16.01.2024 09:45 ,flerinvs,,"УЗ по АН, застройщикам и банкам",flerinvs
ANL-2214,269666,,Готово,08.01.2024 22:51 ,15.01.2024 12:32 ,nikishinpa,1.0,Документация по Проверке сделки,nikishinpa
ANL-2224,270206,,Готово,10.01.2024 16:23 ,15.01.2024 12:29 ,flerinvs,3.0,Выгрузить все сделки Этажей за 2023 год с разбивкой по регионам,tatiankoaa
ANL-2223,270170,,Готово,10.01.2024 15:15 ,12.01.2024 18:42 ,nikishinpa,,Итоговые данные по Ипотечному брокеру за 2023,kluninany
ANL-2207,269659,,Закрыт,08.01.2024 22:31 ,12.01.2024 11:07 ,nikishinpa,3.0,Закрытие месяца по отчетам,nikishinpa
ANL-2205,269582,,Готово,29.12.2023 16:42 ,11.01.2024 11:34 ,mikhaelyanta,2.0,Выгрузка итоговых отчетов,mikhaelyanta
ANL-2201,268828,,Закрыт,26.12.2023 12:05 ,10.01.2024 23:08 ,flerinvs,,Сформировать отчет по логам,flerinvs
ANL-2217,269695,,Готово,09.01.2024 09:45 ,10.01.2024 14:20 ,flerinvs,2.0,Проработка_ANL-2179_Отчет по качеству ответов чат бота (шаблоны),flerinvs
ANL-2216,269690,,Готово,09.01.2024 09:35 ,10.01.2024 10:33 ,flerinvs,2.0,Отчетность за 23г.,flerinvs
ANL-2215,269667,,Готово,08.01.2024 22:59 ,09.01.2024 17:56 ,nikishinpa,5.0,Корректировка скрипта по Защите сделки,nikishinpa
ANL-1895,242149,,Готово,29.08.2023 13:05 ,29.12.2023 08:31 ,mikhaelyanta,,Автоматизировать Акты по Защите и Проверке,mikhaelyanta
ANL-2088,261090,,Готово,17.11.2023 14:11 ,27.12.2023 14:02 ,balitskayaav,2.0,Описать методологию расчета СБР SLT отчета в Когносе,flerinvs
ANL-2160,266251,,Готово,12.12.2023 15:16 ,21.12.2023 17:02 ,mikhaelyanta,3.0,Доработки по отчету Электронная закладная ВТБ,mikhaelyanta
ANL-1996,252352,,Готово,11.10.2023 11:40 ,21.12.2023 13:33 ,flerinvs,,Добавить в Дэшборд по чатам инфо по чатам в ипотечных сделках и М2Pro Новостройках,zhuravlevaev
ANL-2128,264493,,Готово,05.12.2023 09:35 ,21.12.2023 13:33 ,flerinvs,2.0,Автоматизация отчетности мидла,flerinvs
ANL-2192,267288,,Готово,16.12.2023 19:17 ,20.12.2023 12:21 ,flerinvs,,Доп задача для_ANL-1922 Отчетность в рамках пилота по Чатам с ВТБ,flerinvs
ANL-2166,266514,,Готово,13.12.2023 14:50 ,20.12.2023 12:10 ,mikhaelyanta,1.0,Отчет по завершенным сделкам за ноябрь по компании - 5087746476252,chizhikovaea
ANL-2195,267690,,Готово,19.12.2023 11:53 ,20.12.2023 10:08 ,flerinvs,2.0,Доработка по ANL-1988_добавить представителей,flerinvs
ANL-2152,265642,,Готово,08.12.2023 15:47 ,19.12.2023 13:29 ,nikishinpa,5.0,Принять отчеты,flerinvs
ANL-2191,267287,,Готово,16.12.2023 19:13 ,18.12.2023 19:37 ,flerinvs,2.0,Доработка по ANL-1988_Отчет по продажам Сделки онлайн,flerinvs
ANL-2184,267005,,Закрыт,14.12.2023 23:30 ,16.12.2023 19:14 ,flerinvs,2.0,Доработка по ANL-1988,flerinvs
ANL-2168,266775,,Готово,14.12.2023 10:46 ,16.12.2023 18:32 ,flerinvs,1.0,Провести анализ задач и составить список для Q1,flerinvs
ANL-2146,265424,,Готово,07.12.2023 23:21 ,16.12.2023 18:31 ,flerinvs,3.0,Доп задача для_ANL-1922 Отчетность в рамках пилота по Чатам с ВТБ,flerinvs
ANL-2153,265835,,Готово,11.12.2023 11:14 ,15.12.2023 16:48 ,mikhaelyanta,,Добавить в отчет по ДКП М2 ВТБ сотрудника ЦОЗ и свод по ЦОЗ ВТБ,ScherbakovaKA
ANL-1944,247277,,Готово,20.09.2023 11:28 ,15.12.2023 14:13 ,mikhaelyanta,3.0,В отчет  ЭР 2.0 отчет по приостановленным заявлениям для ВТБ необходимо внести исправления.,ignatovaaa
ANL-2131,264283,,Готово,04.12.2023 13:00 ,15.12.2023 11:10 ,balitskayaav,2.0,Отображение сотрудника в когнос,kuchmada
ANL-2151,265602,,Готово,08.12.2023 14:16 ,14.12.2023 20:41 ,flerinvs,3.0,Доработка по ANL-1988_Отчет по продажам Сделки онлайн,flerinvs
ANL-2081,260824,,Готово,16.11.2023 15:12 ,14.12.2023 15:43 ,mikhaelyanta,1.0,Создание словаря по застройщикам для M2PRO,mikhaelyanta
ANL-2173,266922,,Закрыт,14.12.2023 15:42 ,14.12.2023 15:42 ,balitskayaav,,Отчет по самолет плюс,balitskayaav
ANL-2162,266343,,Готово,12.12.2023 18:53 ,13.12.2023 17:54 ,flerinvs,,Предоставить статистику по СО,flerinvs
ANL-2155,265939,,Готово,11.12.2023 14:39 ,13.12.2023 17:22 ,nikishinpa,,Выгрузка по сделкам застройщиков,SytnikTI
ANL-1950,249498,,Готово,29.09.2023 09:47 ,12.12.2023 15:24 ,mikhaelyanta,3.0,В отчет ЭР 2.0 отчет по электронным закладным ВТБ необходимо внести исправления.,ignatovaaa
ANL-2113,263284,,Готово,28.11.2023 17:15 ,11.12.2023 13:00 ,flerinvs,,Выгрузка сделок с занижением по регионам с детализацией ,tanyginadv
ANL-2127,264410,,Готово,04.12.2023 18:02 ,11.12.2023 12:40 ,nikishinpa,,визуал NPS,goryaynovaen
ANL-2030,255671,,Готово,25.10.2023 11:45 ,11.12.2023 12:33 ,balitskayaav,5.0,Отчет по ИЖС СБР Почта банк,kluninany
ANL-2121,263984,,Закрыт,01.12.2023 12:37 ,08.12.2023 17:29 ,flerinvs,5.0,Отчет по продажам Сделки онлайн_декомпозиция_1922,flerinvs
ANL-2144,265399,,Готово,07.12.2023 18:04 ,08.12.2023 17:29 ,flerinvs,3.0,Квартальный ПОДФТ,flerinvs
ANL-2114,263422,,Закрыт,29.11.2023 12:32 ,08.12.2023 15:42 ,balitskayaav,1.0,Выгрузка по УКЭП Госключ,kovievanv
ANL-2133,264932,,Закрыт,06.12.2023 13:20 ,08.12.2023 15:41 ,balitskayaav,1.0,Выгрузка УКЭП за ноябрь,balitskayaav
ANL-2132,264847,,Закрыт,06.12.2023 10:42 ,08.12.2023 15:41 ,balitskayaav,1.0,Выгрузить отчет по СУП (форма во вложении) ,ignatovaaa
ANL-2130,264240,,Готово,04.12.2023 11:20 ,08.12.2023 11:16 ,mikhaelyanta,1.0,Добавить в отчет ДКП ВТБ ручные сделки,ScherbakovaKA
ANL-2115,263663,,Готово,30.11.2023 11:25 ,08.12.2023 11:15 ,mikhaelyanta,3.0,Исправить логику привязки продаж через КС в отчете по доле,mikhaelyanta
ANL-2104,262455,,Готово,24.11.2023 10:31 ,07.12.2023 19:12 ,flerinvs,5.0,Декомпозиция 1988. Отчет для ВТБ по ипотеке,flerinvs
ANL-2103,262452,,Готово,24.11.2023 10:29 ,07.12.2023 19:11 ,flerinvs,3.0,Декомпозиция в рамках ANL-1922,flerinvs
ANL-2107,262563,,Закрыт,24.11.2023 13:32 ,07.12.2023 15:47 ,balitskayaav,5.0,Декомпозиция 2093. Отчетность для сверки УКЭП,flerinvs
ANL-2111,262845,,Закрыт,27.11.2023 12:47 ,07.12.2023 15:37 ,mikhaelyanta,1.0,Выгрузка отчета по ремонтам,mikhaelyanta
ANL-2118,263943,,Готово,01.12.2023 11:29 ,07.12.2023 15:33 ,mikhaelyanta,1.0,Выгрузка для ВТБ ГРМ,kluninany
ANL-2099,262264,,Готово,23.11.2023 12:59 ,04.12.2023 12:15 ,mikhaelyanta,8.0,Перевод отчетов на ODS по ДКП,mikhaelyanta
ANL-2101,262285,,Готово,23.11.2023 13:53 ,01.12.2023 12:49 ,flerinvs,1.0,Перевести витрины на ODS_R_CHAT,norea
ANL-2120,263444,,Закрыт,29.11.2023 12:58 ,01.12.2023 12:31 ,mikhaelyanta,,РЕМОНТЫ_Выгрузка базы СБР/ЭР,vorobevayi
ANL-2000,252856,,Закрыт,12.10.2023 14:21 ,01.12.2023 12:12 ,flerinvs,,Сделка онлайн сводка,flerinvs
ANL-2090,261264,,Закрыт,19.11.2023 19:21 ,27.11.2023 16:58 ,balitskayaav,2.0,Предоставление отчета по контролю реквизитов (СБР),kartaevry
ANL-2082,261006,,Готово,17.11.2023 11:35 ,27.11.2023 12:34 ,balitskayaav,,Автоматизация ежедневного отчета для SLT ,balitskayaav
ANL-2096,262148,,Закрыт,22.11.2023 19:32 ,27.11.2023 12:33 ,balitskayaav,,Задача на миллион (сделок),nikitindd
ANL-2057,259431,,Закрыт,10.11.2023 11:22 ,27.11.2023 12:13 ,mikhaelyanta,,Тестирование нового разбора по КС,mikhaelyanta
ANL-1973,250804,,Готово,04.10.2023 14:51 ,27.11.2023 11:25 ,balitskayaav,,Неверная привязка ответственных по M2PRO,mikhaelyanta
ANL-2086,261084,,Готово,17.11.2023 13:51 ,24.11.2023 10:23 ,flerinvs,,Декомпозиция_ANL-1988 (Отчет по продажам Сделки онлайн),flerinvs
ANL-2084,261080,,Закрыт,17.11.2023 13:47 ,23.11.2023 16:04 ,flerinvs,,Декомпозиция ANL-1922(Отчетность в рамках пилота по Чатам с ВТБ),flerinvs
ANL-2055,258973,,Готово,08.11.2023 20:55 ,23.11.2023 15:42 ,mikhaelyanta,,Проверка источников по создателю в КС,mikhaelyanta
ANL-2092,261360,,Готово,20.11.2023 12:27 ,22.11.2023 12:21 ,mikhaelyanta,,Выгрузка обновлённого отчета по ремонтам,mikhaelyanta
ANL-2032,256110,245181,Готово,26.10.2023 14:58 ,21.11.2023 20:16 ,flerinvs,,Операционная отчетность для ВТБ,zhuravlevaev
ANL-2083,261078,,Готово,17.11.2023 13:42 ,21.11.2023 19:21 ,flerinvs,,Декомпозиция_ANL-2032 (Операционная отчетность для ВТБ),flerinvs
ANL-2079,260645,,Готово,15.11.2023 22:55 ,21.11.2023 19:19 ,flerinvs,,Сверка УКЭП ,flerinvs
ANL-2060,259646,,Готово,10.11.2023 18:40 ,20.11.2023 16:49 ,flerinvs,,Дэшборд_ВТБ чаты,flerinvs
ANL-2049,258535,,Готово,07.11.2023 16:21 ,20.11.2023 16:40 ,balitskayaav,,Автоматизация отчета,flerinvs
ANL-2078,260636,,Готово,15.11.2023 20:00 ,20.11.2023 13:11 ,balitskayaav,,ТЗ на разработку алёртов и мониторинга,flerinvs
ANL-2077,260475,,Готово,15.11.2023 12:25 ,20.11.2023 10:02 ,mikhaelyanta,,Отчет по Почта банк ЭР,mikhaelyanta
ANL-2050,258552,,Готово,07.11.2023 16:40 ,17.11.2023 16:16 ,balitskayaav,,Данные по сделкам с СБР и ЭР АН Самолет Плюс,pichuginaaz
ANL-2075,260305,,Готово,14.11.2023 17:12 ,17.11.2023 16:12 ,mikhaelyanta,,Выгрузка из ЛК банка Открытие (розница) ЭР,kluninany
ANL-2038,257242,,Готово,01.11.2023 08:39 ,17.11.2023 13:50 ,mikhaelyanta,,потерянные ЭР_Ростов-на-Дону,mikhaelyanta
ANL-2072,260190,,Готово,14.11.2023 13:42 ,16.11.2023 13:25 ,mikhaelyanta,,Исправить выгрузку УКЭП по банку МКБ,mikhaelyanta
ANL-2076,260348,,Готово,14.11.2023 18:20 ,15.11.2023 21:58 ,flerinvs,,"Создание отчета для ПОД/ФТ на основе ранее сделанного ""Отчет по аккаунтингу""",ivlevanv
ANL-2058,259590,,Готово,10.11.2023 16:37 ,15.11.2023 21:58 ,flerinvs,,Отчет Массовое создание,yunusovaya
ANL-2073,260193,,Готово,14.11.2023 13:45 ,15.11.2023 10:07 ,mikhaelyanta,,Обновить отчет по Защите,mikhaelyanta
ANL-2061,259717,,Готово,13.11.2023 10:04 ,14.11.2023 16:38 ,flerinvs,1.0,Примсоцбанк - расторжение,flerinvs
ANL-2065,259976,,Закрыт,13.11.2023 17:36 ,13.11.2023 17:37 ,mikhaelyanta,,Выгрузка СБР,mikhaelyanta
ANL-2062,259728,,Готово,13.11.2023 10:25 ,13.11.2023 14:25 ,flerinvs,,Отчет для бухгалтерии,flerinvs
ANL-2046,258153,,Закрыт,03.11.2023 16:04 ,10.11.2023 13:59 ,mikhaelyanta,,Передача дел новому сотруднику,mikhaelyanta
ANL-1911,244216,236715,Готово,06.09.2023 15:29 ,10.11.2023 11:26 ,mikhaelyanta,,Ошибка по доле ЭР ГЖ,mikhaelyanta
ANL-2047,258184,,Готово,03.11.2023 17:29 ,10.11.2023 11:19 ,mikhaelyanta,,Правки в Дашборде Эл.рег 2.0,tatarovaaa
ANL-1991,252233,,Готово,10.10.2023 18:57 ,10.11.2023 11:17 ,mikhaelyanta,,Отчет простыня Ремонты АНЧ,ScherbakovaKA
ANL-2053,258607,,Готово,07.11.2023 17:58 ,10.11.2023 11:17 ,mikhaelyanta,,Ежемесячная выгрузка по проведенным сделкам в рамках ЭР по всем рыночным банкам,kluninany
ANL-2054,258949,,Готово,08.11.2023 18:19 ,10.11.2023 09:44 ,flerinvs,,УКЭП,flerinvs
ANL-1853,219349,,Готово,16.05.2023 12:22 ,08.11.2023 17:19 ,mikhaelyanta,,Исправить ошибку в MartAuth_VtbEmployeeStructureHistory,klekovkinve
ANL-1929,245840,,Готово,13.09.2023 16:10 ,08.11.2023 17:19 ,mikhaelyanta,,Выгрузка для ВТБ ГРМ,kluninany
ANL-1960,249981,,Готово,02.10.2023 13:22 ,08.11.2023 17:19 ,mikhaelyanta,,"ВТБ, выгрузка по партнерам ГРМ",kluninany
ANL-1985,251659,,Готово,09.10.2023 10:57 ,08.11.2023 17:19 ,mikhaelyanta,,Пустой отчет по СМБ Откртыие,mikhaelyanta
ANL-2019,254490,,Готово,19.10.2023 15:03 ,08.11.2023 17:19 ,flerinvs,,отправка отчетов по ЭР (сопровождение) на БВ,stalskayads
ANL-2037,257137,,Готово,31.10.2023 15:25 ,08.11.2023 17:19 ,mikhaelyanta,,Отчет по неипотечным сделкам за 9 месяцев (по МиМО),altunyanar
ANL-2042,257771,,Готово,02.11.2023 13:00 ,08.11.2023 17:19 ,mikhaelyanta,,Разовая выгрузка отчета из сервиса ЭР (регистрация права собственности),ScherbakovaKA
ANL-2048,258349,,Готово,07.11.2023 12:01 ,08.11.2023 17:19 ,flerinvs,,ПОДФТ,flerinvs
ANL-2051,258557,,Готово,07.11.2023 16:44 ,08.11.2023 17:19 ,mikhaelyanta,,Разовая выгрузка отчета из сервиса ЭР (регистрация договора купли-продажи)),ScherbakovaKA
ANL-1184,107275,,Готово,01.11.2021 16:28 ,08.11.2023 17:18 ,klekovkinve,,Ad-hoc анализ рассылок на АНЧ,klekovkinve
ANL-1263,121088,,Готово,17.01.2022 10:11 ,08.11.2023 17:18 ,klekovkinve,,Пересборка витрин по классифайду,klekovkinve
ANL-1330,128918,,Готово,16.02.2022 20:40 ,08.11.2023 17:18 ,klekovkinve,,Доработка отчета по продажам (новый KPI),klekovkinve
ANL-1314,126612,,Готово,08.02.2022 15:48 ,08.11.2023 17:18 ,klekovkinve,,ИБ обогатить mart_mortgage.rerular_report выдачами,ivlevady
ANL-1390,136604,,Готово,29.03.2022 19:34 ,08.11.2023 17:18 ,klekovkinve,,ad-hoc / Активные партнеры АН,klekovkinve
ANL-1331,128919,,Готово,16.02.2022 20:41 ,08.11.2023 17:18 ,klekovkinve,,Доработка отчета по продажам (общий KPI),klekovkinve
ANL-1414,139280,,Готово,12.04.2022 16:41 ,08.11.2023 17:18 ,klekovkinve,,ad-hoc / Подтянуть к АНЧ регионы по номерам,klekovkinve
ANL-1378,135044,,Готово,22.03.2022 11:04 ,08.11.2023 17:18 ,klekovkinve,,ИБ. отрезать лишнее по bank_request,ivlevady
ANL-1384,136243,,Готово,28.03.2022 17:54 ,08.11.2023 17:18 ,klekovkinve,,Заменить источник в MART_MORTGAGE.OPERATION_REPORT,klekovkinve
ANL-1328,128076,,Готово,14.02.2022 17:13 ,08.11.2023 17:18 ,klekovkinve,,Добавить привязку сотрудников М2 в сегменте банков,klekovkinve
ANL-1365,132933,,Готово,10.03.2022 16:32 ,08.11.2023 17:18 ,klekovkinve,,Альтернатива. Отчет для ВТБ. Добавить ролевую модель,klekovkinve
ANL-1445,142035,,Готово,27.04.2022 13:02 ,08.11.2023 17:18 ,klekovkinve,,Ad-hoc / Продажи / Рейтинг застройщиков 2021,klekovkinve
ANL-1313,126609,,Готово,08.02.2022 15:45 ,08.11.2023 17:18 ,klekovkinve,,Отчет по комиссиям ИБ,ivlevady
ANL-1352,129943,,Готово,22.02.2022 11:17 ,08.11.2023 17:18 ,klekovkinve,,Выгрузка доступов из Когноса,soklakovasy
ANL-1462,143864,,Готово,12.05.2022 13:28 ,08.11.2023 17:18 ,klekovkinve,,ad-hoc / Стоимость м2 по СБР+ЭР,klekovkinve
ANL-1506,150956,,Готово,20.06.2022 17:12 ,08.11.2023 17:16 ,klekovkinve,,Добавить поле в отчет (Павел П.),babchenkoka
ANL-1576,158885,,Готово,27.07.2022 17:28 ,08.11.2023 17:16 ,klekovkinve,,Перенести MART_SEGMENT_REALTOR.USER_INFO на актуальный PERSON,klekovkinve
ANL-1389,136514,,Готово,29.03.2022 15:33 ,08.11.2023 17:16 ,klekovkinve,,"Отчет по партнерам и сегментам, СБР-ЭР-ИБ-Новостройки",ivlevady
ANL-1458,143529,,Готово,11.05.2022 11:30 ,08.11.2023 17:16 ,klekovkinve,,ИБ / Перенести воронки из гуглдоков в когнос,klekovkinve
ANL-1580,159178,,Готово,28.07.2022 16:22 ,08.11.2023 17:16 ,klekovkinve,,ad-hoc / Выгрузить ЧМАКов без активных офферов в классифайде,klekovkinve
ANL-1456,143309,,Готово,06.05.2022 12:23 ,08.11.2023 17:16 ,klekovkinve,,ad-hoc / Исследовать данные классифайда,klekovkinve
ANL-1867,236666,,Готово,04.08.2023 13:46 ,08.11.2023 17:15 ,mikhaelyanta,,Обновление словаря SALES_EMPLOYEE_HIERARCHY,mikhaelyanta
ANL-1863,234697,,Готово,25.07.2023 18:04 ,08.11.2023 17:15 ,mikhaelyanta,,Добавить фильтр в отчет по ЛК,mikhaelyanta
ANL-1879,240192,,Готово,21.08.2023 13:42 ,08.11.2023 17:15 ,mikhaelyanta,,Выгрузка неипотечных сделок для Росбанка,mikhaelyanta
ANL-1883,240644,,Готово,22.08.2023 17:40 ,08.11.2023 17:15 ,mikhaelyanta,,Прикрепление сотрудников к ТП,mikhaelyanta
ANL-1887,241190,,Готово,24.08.2023 13:34 ,08.11.2023 17:15 ,mikhaelyanta,,Выгрузка по СБР,mikhaelyanta
ANL-1049,93094,,Готово,22.08.2021 18:11 ,08.11.2023 17:15 ,klekovkinve,,Дашборд по данным классифайда и новостроек,potapovvs
ANL-1881,240379,,Готово,22.08.2023 10:02 ,08.11.2023 17:15 ,mikhaelyanta,,Проверка справочника ODS_VTB_DICT.VTB_USER_OFFICE_CORRECTION,mikhaelyanta
ANL-1894,241881,,Готово,28.08.2023 16:44 ,08.11.2023 17:15 ,flerinvs,,Не грузится отчёт в когносе,nikitindd
ANL-1903,243811,,Готово,05.09.2023 12:48 ,08.11.2023 17:15 ,mikhaelyanta,,Доступы Открытие,kluninany
ANL-1904,243944,,Готово,05.09.2023 16:47 ,08.11.2023 17:15 ,flerinvs,,"Починить отчет ""ВТБ Дашборд""",flerinvs
ANL-1907,244070,,Готово,06.09.2023 10:47 ,08.11.2023 17:15 ,mikhaelyanta,,Поиск продажи по сотруднику,mikhaelyanta
ANL-1891,241514,,Готово,25.08.2023 16:09 ,08.11.2023 17:15 ,flerinvs,,Автоматизация отчетов _этап 2 ,flerinvs
ANL-1885,240873,,Готово,23.08.2023 14:48 ,08.11.2023 17:15 ,flerinvs,,Автоматизация ,flerinvs
ANL-1901,243707,,Готово,05.09.2023 10:03 ,08.11.2023 17:15 ,mikhaelyanta,,Сделка онлайн статистика на 03.09.2023,mikhaelyanta
ANL-1917,244378,,Готово,07.09.2023 11:06 ,08.11.2023 17:15 ,flerinvs,,Сделать выгрузка Отчета ПОД ФТ все сделки за период с 15 по 30 августа 2023,bichurinrm
ANL-1924,245271,,Готово,12.09.2023 09:40 ,08.11.2023 17:15 ,mikhaelyanta,,Проверить выгрузку для отчета ВТБ ГРМ,mikhaelyanta
ANL-1933,246378,,Готово,15.09.2023 13:59 ,08.11.2023 17:15 ,mikhaelyanta,,Выгрузка для ВТБ (ИНКОМ),kluninany
ANL-1937,246519,,Готово,18.09.2023 09:49 ,08.11.2023 17:15 ,mikhaelyanta,,Выгрузка по СО,mikhaelyanta
